* T-Spice 6.02 Simulation	Thu Dec 30 18:31:11 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response_max_freq.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response_max_freq.out D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response_max_freq.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\inverter_sch.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
   1.8656e-004  0.0000e+000  5.0000e+000
   1.9656e-004  0.0000e+000  5.0000e+000
   1.9999e-004  0.0000e+000  5.0000e+000
 2.001971e-004  9.8563e-002  5.0000e+000
  2.00597e-004  2.9881e-001  5.0000e+000
   2.0271e-004  1.3585e+000  4.9521e+000
  2.03458e-004  1.7294e+000  4.8455e+000
  2.04157e-004  2.0789e+000  4.6402e+000
  2.04577e-004  2.2888e+000  4.3958e+000
  2.04815e-004  2.4076e+000  4.1009e+000
 2.049005e-004  2.4503e+000  3.7814e+000
 2.049431e-004  2.4716e+000  3.2925e+000
 2.049807e-004  2.4904e+000  2.7972e+000
 2.050153e-004  2.5077e+000  2.3541e+000
 2.050606e-004  2.5303e+000  1.8036e+000
 2.051110e-004  2.5555e+000  1.2502e+000
 2.051599e-004  2.5800e+000  9.6916e-001
 2.052002e-004  2.6001e+000  8.6067e-001
 2.052362e-004  2.6181e+000  7.9238e-001
 2.052988e-004  2.6494e+000  7.0054e-001
 2.054317e-004  2.7159e+000  5.6208e-001
  2.05666e-004  2.8330e+000  4.0272e-001
  2.05970e-004  2.9854e+000  2.6766e-001
  2.06395e-004  3.1977e+000  1.4841e-001
  2.07082e-004  3.5415e+000  4.4981e-002
  2.08044e-004  4.0220e+000  7.6206e-004
  2.09508e-004  4.7542e+000  7.8578e-006
  2.09999e-004  5.0000e+000  1.1542e-005
  2.10799e-004  5.0000e+000  7.9540e-010
  2.11569e-004  5.0000e+000 -1.5919e-010
   2.2156e-004  5.0000e+000 -1.2544e-008
   2.3156e-004  5.0000e+000 -2.4929e-008
   2.4156e-004  5.0000e+000 -3.7314e-008
   2.5156e-004  5.0000e+000 -4.9698e-008
   2.6156e-004  5.0000e+000 -6.2083e-008
   2.7156e-004  5.0000e+000 -7.4468e-008
   2.8156e-004  5.0000e+000 -8.6853e-008
   2.9156e-004  5.0000e+000 -9.9238e-008
   3.0156e-004  5.0000e+000 -1.1162e-007
   3.0999e-004  5.0000e+000 -1.2206e-007
 3.101977e-004  4.9011e+000 -1.1753e-005
  3.10978e-004  4.5109e+000 -1.2809e-005
  3.12575e-004  3.7122e+000  1.8881e-002
  3.13900e-004  3.0496e+000  2.2613e-001
  3.14438e-004  2.7809e+000  4.6289e-001
  3.14756e-004  2.6219e+000  7.7905e-001
 3.148642e-004  2.5679e+000  1.0678e+000
 3.149161e-004  2.5419e+000  1.5029e+000
 3.149623e-004  2.5188e+000  2.0389e+000
 3.150094e-004  2.4953e+000  2.6289e+000
 3.150671e-004  2.4664e+000  3.3786e+000
 3.151080e-004  2.4460e+000  3.8247e+000
 3.151481e-004  2.4259e+000  4.0061e+000
 3.151830e-004  2.4085e+000  4.0950e+000
 3.1521279e-004  2.3936e+000  4.1513e+000
 3.152918e-004  2.3541e+000  4.2633e+000
 3.154391e-004  2.2804e+000  4.4086e+000
 3.156596e-004  2.1702e+000  4.5523e+000
  3.16016e-004  1.9919e+000  4.7048e+000
  3.16458e-004  1.7707e+000  4.8275e+000
  3.17086e-004  1.4566e+000  4.9315e+000
  3.17679e-004  1.1605e+000  4.9814e+000
  3.18239e-004  8.8025e-001  4.9986e+000
  3.18979e-004  5.1008e-001  5.0000e+000
  3.19892e-004  5.3688e-002  5.0000e+000
 3.199999e-004  0.0000e+000  5.0000e+000
  3.20373e-004  0.0000e+000  5.0000e+000
  3.20776e-004  0.0000e+000  5.0000e+000
   3.2823e-004  0.0000e+000  5.0000e+000
   3.3457e-004  0.0000e+000  5.0000e+000
   3.4069e-004  0.0000e+000  5.0000e+000
   3.4656e-004  0.0000e+000  5.0000e+000
   3.5656e-004  0.0000e+000  5.0000e+000
   3.6656e-004  0.0000e+000  5.0000e+000
   3.7656e-004  0.0000e+000  5.0000e+000
   3.8656e-004  0.0000e+000  5.0000e+000
   3.9656e-004  0.0000e+000  5.0000e+000
  3.99999e-004  0.0000e+000  5.0000e+000
 4.001971e-004  9.8563e-002  5.0000e+000
 4.005976e-004  2.9881e-001  5.0000e+000
  4.02717e-004  1.3585e+000  4.9521e+000
  4.03458e-004  1.7294e+000  4.8455e+000
  4.04157e-004  2.0789e+000  4.6402e+000
  4.04577e-004  2.2888e+000  4.3958e+000
 4.048151e-004  2.4076e+000  4.1009e+000
 4.049005e-004  2.4503e+000  3.7814e+000
 4.049431e-004  2.4716e+000  3.2925e+000
 4.0498071e-004  2.4904e+000  2.7972e+000
 4.0501532e-004  2.5077e+000  2.3541e+000
 4.050606e-004  2.5303e+000  1.8036e+000
 4.051110e-004  2.5555e+000  1.2502e+000
 4.051599e-004  2.5800e+000  9.6916e-001
 4.0520021e-004  2.6001e+000  8.6067e-001
 4.0523628e-004  2.6181e+000  7.9238e-001
 4.052988e-004  2.6494e+000  7.0054e-001
 4.054317e-004  2.7159e+000  5.6208e-001
 4.056660e-004  2.8330e+000  4.0272e-001
 4.059708e-004  2.9854e+000  2.6766e-001
  4.06395e-004  3.1977e+000  1.4841e-001
  4.07082e-004  3.5415e+000  4.4981e-002
  4.08044e-004  4.0220e+000  7.6206e-004
  4.09508e-004  4.7542e+000  7.8578e-006
  4.09999e-004  5.0000e+000  1.1542e-005
  4.10799e-004  5.0000e+000  7.9540e-010
  4.11569e-004  5.0000e+000 -1.5919e-010
   4.2156e-004  5.0000e+000 -1.2544e-008
