* T-Spice 6.02 Simulation	Thu Dec 30 17:14:08 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response.out D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\inverter_sch.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
  2.00204e-004  1.0208e-001  5.0000e+000
  2.00750e-004  3.7544e-001  5.0000e+000
  2.02104e-004  1.0524e+000  4.9714e+000
  2.02767e-004  1.3836e+000  4.8268e+000
  2.03371e-004  1.6858e+000  4.5091e+000
  2.03713e-004  1.8568e+000  4.1429e+000
 2.039074e-004  1.9537e+000  3.6796e+000
 2.039574e-004  1.9787e+000  3.3085e+000
 2.040045e-004  2.0023e+000  2.6948e+000
 2.040450e-004  2.0225e+000  2.1705e+000
 2.040822e-004  2.0411e+000  1.7230e+000
 2.041159e-004  2.0580e+000  1.3384e+000
 2.041578e-004  2.0789e+000  8.9062e-001
 2.042045e-004  2.1023e+000  6.8844e-001
 2.042343e-004  2.1172e+000  6.3298e-001
 2.042601e-004  2.1301e+000  5.9427e-001
 2.043173e-004  2.1587e+000  5.2723e-001
  2.04530e-004  2.2655e+000  3.8027e-001
  2.04808e-004  2.4042e+000  2.7166e-001
  2.05085e-004  2.5426e+000  2.0198e-001
  2.05562e-004  2.7811e+000  1.2150e-001
  2.06180e-004  3.0903e+000  5.9406e-002
  2.06805e-004  3.4026e+000  2.3928e-002
  2.07378e-004  3.6894e+000  6.7481e-003
  2.08379e-004  4.1896e+000  1.4091e-005
  2.09529e-004  4.7646e+000  8.1632e-006
  2.09999e-004  5.0000e+000  7.8901e-006
  2.10507e-004  5.0000e+000  4.7795e-010
  2.11056e-004  5.0000e+000 -1.1850e-010
   2.2105e-004  5.0000e+000 -1.0995e-008
   2.3105e-004  5.0000e+000 -2.1872e-008
   2.4105e-004  5.0000e+000 -3.2748e-008
   2.5105e-004  5.0000e+000 -4.3625e-008
   2.6105e-004  5.0000e+000 -5.4501e-008
   2.7105e-004  5.0000e+000 -6.5378e-008
   2.8105e-004  5.0000e+000 -7.6254e-008
   2.9105e-004  5.0000e+000 -8.7131e-008
   3.0105e-004  5.0000e+000 -9.8007e-008
   3.0999e-004  5.0000e+000 -1.0774e-007
 3.102050e-004  4.8975e+000 -7.8273e-006
  3.10777e-004  4.6113e+000 -8.3204e-006
  3.13121e-004  3.4393e+000  2.0930e-002
  3.14901e-004  2.5492e+000  1.9897e-001
  3.15659e-004  2.1704e+000  5.0622e-001
 3.158178e-004  2.0911e+000  7.5310e-001
 3.158602e-004  2.0699e+000  1.0499e+000
 3.158990e-004  2.0505e+000  1.4732e+000
 3.159521e-004  2.0239e+000  2.1046e+000
 3.159909e-004  2.0045e+000  2.5923e+000
 3.160283e-004  1.9858e+000  3.0829e+000
 3.160766e-004  1.9617e+000  3.5914e+000
 3.161232e-004  1.9384e+000  3.7938e+000
 3.161624e-004  1.9188e+000  3.9058e+000
 3.161976e-004  1.9012e+000  3.9883e+000
 3.162909e-004  1.8545e+000  4.1482e+000
 3.165310e-004  1.7345e+000  4.4269e+000
 3.167488e-004  1.6256e+000  4.5948e+000
 3.170617e-004  1.4691e+000  4.7604e+000
  3.17567e-004  1.2162e+000  4.9188e+000
  3.18127e-004  9.3601e-001  4.9906e+000
  3.18682e-004  6.5858e-001  4.9999e+000
  3.19243e-004  3.7837e-001  5.0000e+000
  3.19952e-004  2.3836e-002  5.0000e+000
 3.199999e-004  0.0000e+000  5.0000e+000
  3.20504e-004  0.0000e+000  5.0000e+000
  3.21049e-004  0.0000e+000  5.0000e+000
   3.3104e-004  0.0000e+000  5.0000e+000
   3.4104e-004  0.0000e+000  5.0000e+000
   3.5006e-004  0.0000e+000  5.0000e+000
